SampleID,site,soil_horizon,warming,nitrogen,invasion,file,notes
s1,PH,Organic,Control,na,na,SWaN_PH_soil_warming,
s3,PH,Organic,Control,na,na,SWaN_PH_soil_warming,
s10,PH,Organic,Control,na,na,SWaN_PH_soil_warming,
s11,PH,Organic,Control,na,na,SWaN_PH_soil_warming,
s30,PH,Organic,Warm,na,na,SWaN_PH_soil_warming,20 yrs warm
s31,PH,Organic,Warm,na,na,SWaN_PH_soil_warming,20 yrs warm
s27,PH,Organic,Warm,na,na,SWaN_PH_soil_warming,20 yrs warm
s28,PH,Organic,Warm,na,na,SWaN_PH_soil_warming,20 yrs warm
s20,SWaN,Organic,Warm,na,na,SWaN_PH_soil_warming,5 yrs warm
s21,SWaN,Organic,Warm,na,na,SWaN_PH_soil_warming,5 yrs warm
s22,SWaN,Organic,Warm,na,na,SWaN_PH_soil_warming,5 yrs warm
s24,SWaN,Organic,Warm,na,na,SWaN_PH_soil_warming,5 yrs warm
s6,SWaN,Organic,Control,na,na,SWaN_PH_soil_warming,
s7,SWaN,Organic,Control,na,na,SWaN_PH_soil_warming,
s16,SWaN,Organic,Control,na,na,SWaN_PH_soil_warming,
s25,SWaN,Organic,Control,na,na,SWaN_PH_soil_warming,
BR1GMBS20152015,BR,Mineral,na,na,Invaded,GM2015_,
BR1GMO20152015,BR,Organic,na,na,Invaded,GM2015_,
BR1PBS20152015,BR,Mineral,na,na,Eradicated,GM2015_,
BR1PO20152015,BR,Organic,na,na,Eradicated,GM2015_,
BR1UO20152015,BR,Organic,na,na,Control,GM2015_,
BR2GMBS20152015,BR,Mineral,na,na,Invaded,GM2015_,
BR2GMO20152015,BR,Organic,na,na,Invaded,GM2015_,
BR2PBS20152015,BR,Mineral,na,na,Eradicated,GM2015_,
BR2PO20152015,BR,Organic,na,na,Eradicated,GM2015_,
BR2UBS20152015,BR,Mineral,na,na,Control,GM2015_,
BR2UO20152015,BR,Organic,na,na,Control,GM2015_,
BR3GMBS20152015,BR,Mineral,na,na,Invaded,GM2015_,
BR3GMO20152015,BR,Organic,na,na,Invaded,GM2015_,
BR3PBS20152015,BR,Mineral,na,na,Eradicated,GM2015_,
BR3PO20152015,BR,Organic,na,na,Eradicated,GM2015_,
BR3UBS20152015,BR,Mineral,na,na,Control,GM2015_,
BR3UO20152015,BR,Organic,na,na,Control,GM2015_,
DF1GMBS20152015,DF,Mineral,na,na,Invaded,GM2015_,
DF1GMO20152015,DF,Organic,na,na,Invaded,GM2015_,
DF1PO20152015,DF,Organic,na,na,Eradicated,GM2015_,
DF1UBS20152015,DF,Mineral,na,na,Control,GM2015_,
DF1UO20152015,DF,Organic,na,na,Control,GM2015_,
DF2GMBS20152015,DF,Mineral,na,na,Invaded,GM2015_,
DF2GMO20152015,DF,Organic,na,na,Invaded,GM2015_,
DF2PBS20152015,DF,Mineral,na,na,Eradicated,GM2015_,
DF2PO20152015,DF,Organic,na,na,Eradicated,GM2015_,
DF2UBS20152015,DF,Mineral,na,na,Control,GM2015_,
DF2UO20152015,DF,Organic,na,na,Control,GM2015_,
DF3GMBS20152015,DF,Mineral,na,na,Invaded,GM2015_,
DF3GMO20152015,DF,Organic,na,na,Invaded,GM2015_,
DF3PBS20152015,DF,Mineral,na,na,Eradicated,GM2015_,
DF3PO20152015,DF,Organic,na,na,Eradicated,GM2015_,
DF3UBS20152015,DF,Mineral,na,na,Control,GM2015_,
DF3UO20152015,DF,Organic,na,na,Control,GM2015_,
HF1GMBS20152015,HF,Mineral,na,na,Invaded,GM2015_,
HF1GMO20152015,HF,Organic,na,na,Invaded,GM2015_,
HF1PBS20152015,HF,Mineral,na,na,Eradicated,GM2015_,
HF1PO20152015,HF,Organic,na,na,Eradicated,GM2015_,
HF1UBS20152015,HF,Mineral,na,na,Control,GM2015_,
HF1UO20152015,HF,Organic,na,na,Control,GM2015_,
HF2GMBS20152015,HF,Mineral,na,na,Invaded,GM2015_,
HF2GMO20152015,HF,Organic,na,na,Invaded,GM2015_,
HF2PBS20152015,HF,Mineral,na,na,Eradicated,GM2015_,
HF2PO20152015,HF,Organic,na,na,Eradicated,GM2015_,
HF2UBS20152015,HF,Mineral,na,na,Control,GM2015_,
HF2UO20152015,HF,Organic,na,na,Control,GM2015_,
HF3GMBS20152015,HF,Mineral,na,na,Invaded,GM2015_,
HF3GMO20152015,HF,Organic,na,na,Invaded,GM2015_,
HF3PBS20152015,HF,Mineral,na,na,Eradicated,GM2015_,
HF3PO20152015,HF,Organic,na,na,Eradicated,GM2015_,
HF3UBS20152015,HF,Mineral,na,na,Control,GM2015_,
HF3UO20152015,HF,Organic,na,na,Control,GM2015_,
ML1GMBS20152015,ML,Mineral,na,na,Invaded,GM2015_,
ML1GMO20152015,ML,Organic,na,na,Invaded,GM2015_,
ML1PBS20152015,ML,Mineral,na,na,Eradicated,GM2015_,
ML1PO20152015,ML,Organic,na,na,Eradicated,GM2015_,
ML1UBS20152015,ML,Mineral,na,na,Control,GM2015_,
ML1UO20152015,ML,Organic,na,na,Control,GM2015_,
ML2GMBS20152015,ML,Mineral,na,na,Invaded,GM2015_,
ML2GMO20152015,ML,Organic,na,na,Invaded,GM2015_,
ML2PBS20152015,ML,Mineral,na,na,Eradicated,GM2015_,
ML2PO20152015,ML,Organic,na,na,Eradicated,GM2015_,
ML2UO20152015,ML,Organic,na,na,Control,GM2015_,
ML3GMBS20152015,ML,Mineral,na,na,Invaded,GM2015_,
ML3GMO20152015,ML,Organic,na,na,Invaded,GM2015_,
ML3PBS20152015,ML,Mineral,na,na,Eradicated,GM2015_,
ML3PO20152015,ML,Organic,na,na,Eradicated,GM2015_,
ML3UBS20152015,ML,Mineral,na,na,Control,GM2015_,
ML3UO20152015,ML,Organic,na,na,Control,GM2015_,
PF1GMBS20152015,PF,Mineral,na,na,Invaded,GM2015_,
PF1GMO20152015,PF,Organic,na,na,Invaded,GM2015_,
PF1PBS20152015,PF,Mineral,na,na,Eradicated,GM2015_,
PF1PO20152015,PF,Organic,na,na,Eradicated,GM2015_,
PF1UBS20152015,PF,Mineral,na,na,Control,GM2015_,
PF1UO20152015,PF,Organic,na,na,Control,GM2015_,
PF2GMBS20152015,PF,Mineral,na,na,Invaded,GM2015_,
