InputFileName,site,soil_horizon,warming,nitrogen,invasion,Treatment,file,notes
Xs1,PH,Organic,Control,na,na,Control,SWaN_PH_soil_warming,
Xs3,PH,Organic,Control,na,na,Control,SWaN_PH_soil_warming,
Xs10,PH,Organic,Control,na,na,Control,SWaN_PH_soil_warming,
Xs11,PH,Organic,Control,na,na,Control,SWaN_PH_soil_warming,
Xs30,PH,Organic,Warm,na,na,Warm,SWaN_PH_soil_warming,20 yrs warm
Xs31,PH,Organic,Warm,na,na,Warm,SWaN_PH_soil_warming,20 yrs warm
Xs27,PH,Organic,Warm,na,na,Warm,SWaN_PH_soil_warming,20 yrs warm
Xs28,PH,Organic,Warm,na,na,Warm,SWaN_PH_soil_warming,20 yrs warm
Xs20,SWaN,Organic,Warm,na,na,Warm,SWaN_PH_soil_warming,5 yrs warm
Xs21,SWaN,Organic,Warm,na,na,Warm,SWaN_PH_soil_warming,5 yrs warm
Xs22,SWaN,Organic,Warm,na,na,Warm,SWaN_PH_soil_warming,5 yrs warm
Xs24,SWaN,Organic,Warm,na,na,Warm,SWaN_PH_soil_warming,5 yrs warm
Xs6,SWaN,Organic,Control,na,na,Control,SWaN_PH_soil_warming,
Xs7,SWaN,Organic,Control,na,na,Control,SWaN_PH_soil_warming,
Xs16,SWaN,Organic,Control,na,na,Control,SWaN_PH_soil_warming,
Xs25,SWaN,Organic,Control,na,na,Control,SWaN_PH_soil_warming,
XBR1GMXBS20152015,XBR,Mineral,na,na,Invaded,Invaded,GM2015_,
XBR1GMO20152015,XBR,Organic,na,na,Invaded,Invaded,GM2015_,
XBR1PXBS20152015,XBR,Mineral,na,na,Eradicated,Eradicated,GM2015_,
XBR1PO20152015,XBR,Organic,na,na,Eradicated,Eradicated,GM2015_,
XBR1UO20152015,XBR,Organic,na,na,Control,Control,GM2015_,
XBR2GMXBS20152015,XBR,Mineral,na,na,Invaded,Invaded,GM2015_,
XBR2GMO20152015,XBR,Organic,na,na,Invaded,Invaded,GM2015_,
XBR2PXBS20152015,XBR,Mineral,na,na,Eradicated,Eradicated,GM2015_,
XBR2PO20152015,XBR,Organic,na,na,Eradicated,Eradicated,GM2015_,
XBR2UXBS20152015,XBR,Mineral,na,na,Control,Control,GM2015_,
XBR2UO20152015,XBR,Organic,na,na,Control,Control,GM2015_,
XBR3GMXBS20152015,XBR,Mineral,na,na,Invaded,Invaded,GM2015_,
XBR3GMO20152015,XBR,Organic,na,na,Invaded,Invaded,GM2015_,
XBR3PXBS20152015,XBR,Mineral,na,na,Eradicated,Eradicated,GM2015_,
XBR3PO20152015,XBR,Organic,na,na,Eradicated,Eradicated,GM2015_,
XBR3UXBS20152015,XBR,Mineral,na,na,Control,Control,GM2015_,
XBR3UO20152015,XBR,Organic,na,na,Control,Control,GM2015_,
XDF1GMBS20152015,XDF,Mineral,na,na,Invaded,Invaded,GM2015_,
XDF1GMO20152015,XDF,Organic,na,na,Invaded,Invaded,GM2015_,
XDF1PO20152015,XDF,Organic,na,na,Eradicated,Eradicated,GM2015_,
XDF1UBS20152015,XDF,Mineral,na,na,Control,Control,GM2015_,
XDF1UO20152015,XDF,Organic,na,na,Control,Control,GM2015_,
XDF2GMBS20152015,XDF,Mineral,na,na,Invaded,Invaded,GM2015_,
XDF2GMO20152015,XDF,Organic,na,na,Invaded,Invaded,GM2015_,
XDF2PBS20152015,XDF,Mineral,na,na,Eradicated,Eradicated,GM2015_,
XDF2PO20152015,XDF,Organic,na,na,Eradicated,Eradicated,GM2015_,
XDF2UBS20152015,XDF,Mineral,na,na,Control,Control,GM2015_,
XDF2UO20152015,XDF,Organic,na,na,Control,Control,GM2015_,
XDF3GMBS20152015,XDF,Mineral,na,na,Invaded,Invaded,GM2015_,
XDF3GMO20152015,XDF,Organic,na,na,Invaded,Invaded,GM2015_,
