"OTU_ID","kingdom","phylum","class","order","family","genus"
"OTU3","",NA,NA,NA,NA,NA
"OTU1","",NA,NA,NA,NA,NA
"OTU2","",NA,NA,NA,NA,NA
"OTU5"," Fungi "," Chytridiomycota "," Chytridiomycetes "," Chytridiales "," Chytriomycetaceae "," Rhizidium "
"OTU7","",NA,NA,NA,NA,NA
"OTU6","",NA,NA,NA,NA,NA
"OTU8"," Fungi "," Basidiomycota "," Agaricomycetes "," Agaricales "," Physalacriaceae "," Armillaria "
"OTU4"," Fungi "," Basidiomycota "," Agaricomycetes "," Agaricales "," Physalacriaceae "," Armillaria "
"OTU9","",NA,NA,NA,NA,NA
"OTU10","",NA,NA,NA,NA,NA
"OTU12","",NA,NA,NA,NA,NA
"OTU11","",NA,NA,NA,NA,NA
"OTU13","",NA,NA,NA,NA,NA
"OTU14","",NA,NA,NA,NA,NA
"OTU15","",NA,NA,NA,NA,NA
"OTU16","",NA,NA,NA,NA,NA
"OTU17","",NA,NA,NA,NA,NA
"OTU18","",NA,NA,NA,NA,NA
"OTU19","",NA,NA,NA,NA,NA
"OTU21","",NA,NA,NA,NA,NA
"OTU20"," Fungi "," unidentified "," unidentified "," unidentified "," unidentified "," unidentified "
"OTU22","",NA,NA,NA,NA,NA
"OTU23","",NA,NA,NA,NA,NA
"OTU24"," Fungi "," Chytridiomycota "," Chytridiomycetes "," Chytridiales "," unidentified "," unidentified "
"OTU26","",NA,NA,NA,NA,NA
"OTU27"," Fungi "," Basidiomycota "," unidentified "," unidentified "," unidentified "," unidentified "
"OTU28","",NA,NA,NA,NA,NA
"OTU25"," Fungi "," Mucoromycota "," Endogonomycetes "," Endogonales "," unidentified "," unidentified "
"OTU29"," Fungi "," unidentified "," unidentified "," unidentified "," unidentified "," unidentified "
"OTU31","",NA,NA,NA,NA,NA
"OTU30"," Fungi "," unidentified "," unidentified "," unidentified "," unidentified "," unidentified "
"OTU32","",NA,NA,NA,NA,NA
"OTU33"," Fungi "," Rozellomycota "," unidentified "," unidentified "," unidentified "," unidentified "
"OTU34","",NA,NA,NA,NA,NA
"OTU36","",NA,NA,NA,NA,NA
"OTU37"," Fungi "," Zoopagomycota "," Zoopagomycetes "," Zoopagales "," Piptocephalidaceae "," unidentified "
"OTU35"," Fungi "," Mucoromycota "," Endogonomycetes "," Endogonales "," unidentified "," unidentified "
"OTU39"," Fungi "," unidentified "," unidentified "," unidentified "," unidentified "," unidentified "
"OTU38","",NA,NA,NA,NA,NA
"OTU40","",NA,NA,NA,NA,NA
"OTU41"," Fungi "," unidentified "," unidentified "," unidentified "," unidentified "," unidentified "
"OTU42"," Fungi "," Rozellomycota "," Rozellomycotina_cls_Incertae_sedis "," GS04 "," unidentified "," unidentified "
"OTU44","",NA,NA,NA,NA,NA
"OTU43"," Fungi "," unidentified "," unidentified "," unidentified "," unidentified "," unidentified "
"OTU45","",NA,NA,NA,NA,NA
"OTU46"," Fungi "," unidentified "," unidentified "," unidentified "," unidentified "," unidentified "
"OTU47","",NA,NA,NA,NA,NA
"OTU48"," Fungi "," unidentified "," unidentified "," unidentified "," unidentified "," unidentified "
"OTU52"," Fungi "," Zoopagomycota "," Zoopagomycetes "," Zoopagales "," Piptocephalidaceae "," Syncephalis "
"OTU49","",NA,NA,NA,NA,NA
"OTU50","",NA,NA,NA,NA,NA
"OTU51","",NA,NA,NA,NA,NA
"OTU53","",NA,NA,NA,NA,NA
"OTU54","",NA,NA,NA,NA,NA
"OTU55","",NA,NA,NA,NA,NA
"OTU56"," Fungi "," unidentified "," unidentified "," unidentified "," unidentified "," unidentified "
"OTU60","",NA,NA,NA,NA,NA
"OTU58","",NA,NA,NA,NA,NA
"OTU57","",NA,NA,NA,NA,NA
"OTU59","",NA,NA,NA,NA,NA
"OTU61"," Fungi "," unidentified "," unidentified "," unidentified "," unidentified "," unidentified "
"OTU63"," Fungi "," unidentified "," unidentified "," unidentified "," unidentified "," unidentified "
