OTU_ID,Taxonomy
OTU3,
OTU1,
OTU2,
OTU5,"k: Fungi ,p: Chytridiomycota ,c: Chytridiomycetes ,o: Chytridiales ,f: Chytriomycetaceae ,g: Rhizidium ,s: Rhizidium_phycophilum"
OTU7,
OTU6,
OTU8,"k: Fungi ,p: Basidiomycota ,c: Agaricomycetes ,o: Agaricales ,f: Physalacriaceae ,g: Armillaria ,s: Armillaria_calvescens"
OTU4,"k: Fungi ,p: Basidiomycota ,c: Agaricomycetes ,o: Agaricales ,f: Physalacriaceae ,g: Armillaria ,s: Armillaria_ostoyae"
OTU9,
OTU10,
OTU12,
OTU11,
OTU13,
OTU14,
OTU15,
OTU16,
OTU17,
OTU18,
OTU19,
OTU21,
OTU20,"k: Fungi ,p: unidentified ,c: unidentified ,o: unidentified ,f: unidentified ,g: unidentified ,s: Fungi_sp"
OTU22,
OTU23,
OTU24,"k: Fungi ,p: Chytridiomycota ,c: Chytridiomycetes ,o: Chytridiales ,f: unidentified ,g: unidentified ,s: Chytridiales_sp"
OTU26,
OTU27,"k: Fungi ,p: Basidiomycota ,c: unidentified ,o: unidentified ,f: unidentified ,g: unidentified ,s: Basidiomycota_sp"
OTU28,
OTU25,"k: Fungi ,p: Mucoromycota ,c: Endogonomycetes ,o: Endogonales ,f: unidentified ,g: unidentified ,s: Endogonales_sp"
OTU29,"k: Fungi ,p: unidentified ,c: unidentified ,o: unidentified ,f: unidentified ,g: unidentified ,s: Fungi_sp"
OTU31,
OTU30,"k: Fungi ,p: unidentified ,c: unidentified ,o: unidentified ,f: unidentified ,g: unidentified ,s: Fungi_sp"
OTU32,
OTU33,"k: Fungi ,p: Rozellomycota ,c: unidentified ,o: unidentified ,f: unidentified ,g: unidentified ,s: Rozellomycota_sp"
OTU34,
OTU36,
OTU37,"k: Fungi ,p: Zoopagomycota ,c: Zoopagomycetes ,o: Zoopagales ,f: Piptocephalidaceae ,g: unidentified ,s: Piptocephalidaceae_sp"
OTU35,"k: Fungi ,p: Mucoromycota ,c: Endogonomycetes ,o: Endogonales ,f: unidentified ,g: unidentified ,s: Endogonales_sp"
OTU39,"k: Fungi ,p: unidentified ,c: unidentified ,o: unidentified ,f: unidentified ,g: unidentified ,s: Fungi_sp"
OTU38,
OTU40,
OTU41,"k: Fungi ,p: unidentified ,c: unidentified ,o: unidentified ,f: unidentified ,g: unidentified ,s: Fungi_sp"
OTU42,"k: Fungi ,p: Rozellomycota ,c: Rozellomycotina_cls_Incertae_sedis ,o: GS04 ,f: unidentified ,g: unidentified ,s: GS04_sp"
OTU44,
OTU43,"k: Fungi ,p: unidentified ,c: unidentified ,o: unidentified ,f: unidentified ,g: unidentified ,s: Fungi_sp"
OTU45,
OTU46,"k: Fungi ,p: unidentified ,c: unidentified ,o: unidentified ,f: unidentified ,g: unidentified ,s: Fungi_sp"
OTU47,
OTU48,"k: Fungi ,p: unidentified ,c: unidentified ,o: unidentified ,f: unidentified ,g: unidentified ,s: Fungi_sp"
OTU52,"k: Fungi ,p: Zoopagomycota ,c: Zoopagomycetes ,o: Zoopagales ,f: Piptocephalidaceae ,g: Syncephalis ,s: Syncephalis_sp"
OTU49,
OTU50,
OTU51,
OTU53,
OTU54,
OTU55,
OTU56,"k: Fungi ,p: unidentified ,c: unidentified ,o: unidentified ,f: unidentified ,g: unidentified ,s: Fungi_sp"
OTU60,
OTU58,
OTU57,
OTU59,
OTU61,"k: Fungi ,p: unidentified ,c: unidentified ,o: unidentified ,f: unidentified ,g: unidentified ,s: Fungi_sp"
OTU63,"k: Fungi ,p: unidentified ,c: unidentified ,o: unidentified ,f: unidentified ,g: unidentified ,s: Fungi_sp"
OTU64,"k: Fungi ,p: unidentified ,c: unidentified ,o: unidentified ,f: unidentified ,g: unidentified ,s: Fungi_sp"
OTU62,"k: Fungi ,p: Basidiomycota ,c: Agaricomycetes ,o: Boletales ,f: Boletaceae ,g: unidentified ,s: Boletaceae_sp"
OTU66,
OTU68,"k: Fungi ,p: Zoopagomycota ,c: Zoopagomycetes ,o: Zoopagales ,f: Piptocephalidaceae ,g: unidentified ,s: Piptocephalidaceae_sp"
OTU67,
OTU69,
OTU70,
OTU65,"k: Fungi ,p: Basidiomycota ,c: Agaricomycetes ,o: Agaricales ,f: Omphalotaceae ,g: Gymnopus ,s: Gymnopus_erythropus"
OTU71,"k: Fungi ,p: Zoopagomycota ,c: Zoopagomycetes ,o: Zoopagales ,f: Piptocephalidaceae ,g: Syncephalis ,s: Syncephalis_sp"
OTU72,
OTU73,
OTU74,
OTU75,
OTU76,
OTU78,
OTU77,
OTU79,
OTU80,
OTU81,"k: Fungi ,p: unidentified ,c: unidentified ,o: unidentified ,f: unidentified ,g: unidentified ,s: Fungi_sp"
OTU83,"k: Fungi ,p: unidentified ,c: unidentified ,o: unidentified ,f: unidentified ,g: unidentified ,s: Fungi_sp"
OTU84,
OTU82,"k: Fungi ,p: Chytridiomycota ,c: Lobulomycetes ,o: Lobulomycetales ,f: unidentified ,g: unidentified ,s: Lobulomycetales_sp"
OTU86,
OTU85,
OTU87,
OTU88,
OTU89,"k: Fungi ,p: unidentified ,c: unidentified ,o: unidentified ,f: unidentified ,g: unidentified ,s: Fungi_sp"
OTU90,
OTU91,
OTU94,
OTU93,
OTU95,
OTU92,"k: Fungi ,p: unidentified ,c: unidentified ,o: unidentified ,f: unidentified ,g: unidentified ,s: Fungi_sp"
OTU96,
OTU97,
OTU98,
OTU99,"k: Fungi ,p: unidentified ,c: unidentified ,o: unidentified ,f: unidentified ,g: unidentified ,s: Fungi_sp"
OTU101,
OTU100,
OTU103,
OTU102,
OTU105,
OTU104,"k: Fungi ,p: Ascomycota ,c: Pezizomycetes ,o: Pezizales ,f: Pyronemataceae ,g: Genea ,s: Genea_sp"
OTU106,
OTU107,"k: Fungi ,p: Rozellomycota ,c: Rozellomycotina_cls_Incertae_sedis ,o: GS05 ,f: unidentified ,g: unidentified ,s: GS05_sp"
OTU108,
OTU110,"k: Fungi ,p: unidentified ,c: unidentified ,o: unidentified ,f: unidentified ,g: unidentified ,s: Fungi_sp"
OTU109,
OTU111,
OTU112,
OTU113,"k: Fungi ,p: unidentified ,c: unidentified ,o: unidentified ,f: unidentified ,g: unidentified ,s: Fungi_sp"
OTU114,"k: Fungi ,p: unidentified ,c: unidentified ,o: unidentified ,f: unidentified ,g: unidentified ,s: Fungi_sp"
OTU116,"k: Fungi ,p: unidentified ,c: unidentified ,o: unidentified ,f: unidentified ,g: unidentified ,s: Fungi_sp"
OTU115,"k: Fungi ,p: Basidiomycota ,c: Agaricomycetes ,o: Agaricales ,f: Omphalotaceae ,g: Gymnopus ,s: Gymnopus_sp"
OTU117,"k: Fungi ,p: Mortierellomycota ,c: unidentified ,o: unidentified ,f: unidentified ,g: unidentified ,s: Mortierellomycota_sp"
OTU118,
OTU120,
OTU119,
OTU121,
OTU122,
OTU123,
OTU124,
OTU125,
OTU128,
OTU129,
OTU126,"k: Fungi ,p: Basidiomycota ,c: Agaricomycetes ,o: Agaricales ,f: Omphalotaceae ,g: Gymnopus ,s: Gymnopus_sp"
OTU127,"k: Fungi ,p: Basidiomycota ,c: Agaricomycetes ,o: Agaricales ,f: Omphalotaceae ,g: Gymnopus ,s: Gymnopus_sp"
OTU130,
OTU131,"k: Fungi ,p: unidentified ,c: unidentified ,o: unidentified ,f: unidentified ,g: unidentified ,s: Fungi_sp"
OTU132,
OTU134,
OTU133,"k: Fungi ,p: Basidiomycota ,c: Agaricomycetes ,o: Agaricales ,f: Omphalotaceae ,g: Gymnopus ,s: Gymnopus_ocior"
OTU135,
OTU136,"k: Fungi ,p: unidentified ,c: unidentified ,o: unidentified ,f: unidentified ,g: unidentified ,s: Fungi_sp"
OTU137,"k: Fungi ,p: unidentified ,c: unidentified ,o: unidentified ,f: unidentified ,g: unidentified ,s: Fungi_sp"
OTU138,
OTU139,
OTU140,"k: Fungi ,p: Basidiomycota ,c: Agaricomycetes ,o: Agaricales ,f: Omphalotaceae ,g: Gymnopus ,s: Gymnopus_spongiosus"
OTU142,
OTU143,"k: Fungi ,p: unidentified ,c: unidentified ,o: unidentified ,f: unidentified ,g: unidentified ,s: Fungi_sp"
OTU144,"k: Fungi ,p: unidentified ,c: unidentified ,o: unidentified ,f: unidentified ,g: unidentified ,s: Fungi_sp"
OTU141,
OTU145,
OTU146,"k: Fungi ,p: unidentified ,c: unidentified ,o: unidentified ,f: unidentified ,g: unidentified ,s: Fungi_sp"
OTU147,
OTU148,
OTU149,"k: Fungi ,p: unidentified ,c: unidentified ,o: unidentified ,f: unidentified ,g: unidentified ,s: Fungi_sp"
OTU150,
OTU151,
OTU152,
OTU153,
OTU154,
OTU155,
OTU156,"k: Fungi ,p: Rozellomycota ,c: Rozellomycotina_cls_Incertae_sedis ,o: GS05 ,f: unidentified ,g: unidentified ,s: GS05_sp"
OTU157,
OTU158,"k: Fungi ,p: unidentified ,c: unidentified ,o: unidentified ,f: unidentified ,g: unidentified ,s: Fungi_sp"
OTU160,
OTU159,
OTU161,
OTU162,
OTU163,"k: Fungi ,p: unidentified ,c: unidentified ,o: unidentified ,f: unidentified ,g: unidentified ,s: Fungi_sp"
OTU166,
OTU164,
OTU165,"k: Fungi ,p: Zoopagomycota ,c: Zoopagomycetes ,o: Zoopagales ,f: Piptocephalidaceae ,g: Piptocephalis ,s: Piptocephalis_sp"
OTU168,"k: Fungi ,p: unidentified ,c: unidentified ,o: unidentified ,f: unidentified ,g: unidentified ,s: Fungi_sp"
OTU167,
OTU169,
OTU170,
OTU171,"k: Fungi ,p: Zoopagomycota ,c: unidentified ,o: unidentified ,f: unidentified ,g: unidentified ,s: Zoopagomycota_sp"
OTU172,
OTU174,"k: Fungi ,p: unidentified ,c: unidentified ,o: unidentified ,f: unidentified ,g: unidentified ,s: Fungi_sp"
OTU173,"k: Fungi ,p: unidentified ,c: unidentified ,o: unidentified ,f: unidentified ,g: unidentified ,s: Fungi_sp"
OTU176,
OTU177,"k: Fungi ,p: Zoopagomycota ,c: Zoopagomycetes ,o: Zoopagales ,f: Piptocephalidaceae ,g: Syncephalis ,s: Syncephalis_sp"
OTU175,
OTU179,"k: Fungi ,p: unidentified ,c: unidentified ,o: unidentified ,f: unidentified ,g: unidentified ,s: Fungi_sp"
OTU178,
OTU181,
OTU183,
OTU182,
OTU185,"k: Fungi ,p: unidentified ,c: unidentified ,o: unidentified ,f: unidentified ,g: unidentified ,s: Fungi_sp"
OTU180,
OTU186,
OTU184,
OTU187,
OTU188,"k: Fungi ,p: unidentified ,c: unidentified ,o: unidentified ,f: unidentified ,g: unidentified ,s: Fungi_sp"
OTU192,"k: Fungi ,p: Zoopagomycota ,c: Zoopagomycetes ,o: Zoopagales ,f: Piptocephalidaceae ,g: Syncephalis ,s: Syncephalis_sp"
OTU189,
OTU193,
OTU191,
OTU194,
OTU195,"k: Fungi ,p: unidentified ,c: unidentified ,o: unidentified ,f: unidentified ,g: unidentified ,s: Fungi_sp"
OTU190,
OTU196,"k: Fungi ,p: unidentified ,c: unidentified ,o: unidentified ,f: unidentified ,g: unidentified ,s: Fungi_sp"
OTU197,
OTU198,
OTU199,
OTU200,"k: Fungi ,p: unidentified ,c: unidentified ,o: unidentified ,f: unidentified ,g: unidentified ,s: Fungi_sp"
OTU201,"k: Fungi ,p: unidentified ,c: unidentified ,o: unidentified ,f: unidentified ,g: unidentified ,s: Fungi_sp"
OTU202,"k: Fungi ,p: unidentified ,c: unidentified ,o: unidentified ,f: unidentified ,g: unidentified ,s: Fungi_sp"
OTU203,
OTU205,
OTU204,
OTU208,
OTU207,"k: Fungi ,p: unidentified ,c: unidentified ,o: unidentified ,f: unidentified ,g: unidentified ,s: Fungi_sp"
OTU206,"k: Fungi ,p: unidentified ,c: unidentified ,o: unidentified ,f: unidentified ,g: unidentified ,s: Fungi_sp"
OTU210,
OTU209,"k: Fungi ,p: unidentified ,c: unidentified ,o: unidentified ,f: unidentified ,g: unidentified ,s: Fungi_sp"
OTU211,"k: Fungi ,p: unidentified ,c: unidentified ,o: unidentified ,f: unidentified ,g: unidentified ,s: Fungi_sp"
OTU212,"k: Fungi ,p: unidentified ,c: unidentified ,o: unidentified ,f: unidentified ,g: unidentified ,s: Fungi_sp"
OTU213,
OTU215,
OTU216,
OTU217,"k: Fungi ,p: unidentified ,c: unidentified ,o: unidentified ,f: unidentified ,g: unidentified ,s: Fungi_sp"
OTU214,"k: Fungi ,p: Mortierellomycota ,c: unidentified ,o: unidentified ,f: unidentified ,g: unidentified ,s: Mortierellomycota_sp"
OTU219,"k: Fungi ,p: unidentified ,c: unidentified ,o: unidentified ,f: unidentified ,g: unidentified ,s: Fungi_sp"
OTU218,
OTU220,"k: Fungi ,p: unidentified ,c: unidentified ,o: unidentified ,f: unidentified ,g: unidentified ,s: Fungi_sp"
OTU221,
OTU223,"k: Fungi ,p: unidentified ,c: unidentified ,o: unidentified ,f: unidentified ,g: unidentified ,s: Fungi_sp"
OTU222,"k: Fungi ,p: unidentified ,c: unidentified ,o: unidentified ,f: unidentified ,g: unidentified ,s: Fungi_sp"
OTU224,"k: Fungi ,p: unidentified ,c: unidentified ,o: unidentified ,f: unidentified ,g: unidentified ,s: Fungi_sp"
OTU225,
OTU228,
OTU226,"k: Fungi ,p: unidentified ,c: unidentified ,o: unidentified ,f: unidentified ,g: unidentified ,s: Fungi_sp"
OTU227,
OTU229,
OTU230,
OTU233,
OTU232,
OTU231,
OTU234,
OTU235,
OTU237,"k: Fungi ,p: unidentified ,c: unidentified ,o: unidentified ,f: unidentified ,g: unidentified ,s: Fungi_sp"
OTU238,"k: Fungi ,p: unidentified ,c: unidentified ,o: unidentified ,f: unidentified ,g: unidentified ,s: Fungi_sp"
OTU236,
OTU240,
OTU239,"k: Fungi ,p: Basidiomycota ,c: Agaricomycetes ,o: unidentified ,f: unidentified ,g: unidentified ,s: Agaricomycetes_sp"
OTU241,
OTU242,
OTU243,"k: Fungi ,p: Rozellomycota ,c: Rozellomycotina_cls_Incertae_sedis ,o: GS05 ,f: unidentified ,g: unidentified ,s: GS05_sp"
