OTU3			
OTU1			
OTU2			
OTU5	k:Fungi(1.00),p:Chytridiomycota(1.00),c:Chytridiomycetes(0.52),o:Chytridiales(0.52),f:Chytriomycetaceae(0.52),g:Rhizidium(0.52),s:Rhizidium_phycophilum|SH1565574.08FU(0.29)	+
OTU7			
OTU6			
OTU8	k:Fungi(1.00),p:Basidiomycota(1.00),c:Agaricomycetes(1.00),o:Agaricales(1.00),f:Physalacriaceae(1.00),g:Armillaria(1.00),s:Armillaria_calvescens|SH1577896.08FU(0.80)	+
OTU4	k:Fungi(1.00),p:Basidiomycota(1.00),c:Agaricomycetes(1.00),o:Agaricales(1.00),f:Physalacriaceae(1.00),g:Armillaria(1.00),s:Armillaria_ostoyae|SH1577896.08FU(0.41)	+
OTU9			
OTU10			
OTU12			
OTU11			
OTU13			
OTU14			
OTU15			
OTU16			
OTU17			
OTU18			
OTU19			
OTU21			
OTU20	k:Fungi(1.00),p:unidentified(1.00),c:unidentified(1.00),o:unidentified(1.00),f:unidentified(1.00),g:unidentified(1.00),s:Fungi_sp|SH2619589.08FU(0.47)	+
OTU22			
OTU23			
OTU24	k:Fungi(1.00),p:Chytridiomycota(1.00),c:Chytridiomycetes(1.00),o:Chytridiales(1.00),f:unidentified(1.00),g:unidentified(1.00),s:Chytridiales_sp|SH3321187.08FU(1.00)	+
OTU26			
OTU27	k:Fungi(1.00),p:Basidiomycota(0.99),c:unidentified(1.00),o:unidentified(1.00),f:unidentified(1.00),g:unidentified(1.00),s:Basidiomycota_sp|SH3337178.08FU(0.99)	+
OTU28			
OTU25	k:Fungi(1.00),p:Mucoromycota(1.00),c:Endogonomycetes(1.00),o:Endogonales(1.00),f:unidentified(1.00),g:unidentified(1.00),s:Endogonales_sp|SH3319067.08FU(0.92)	+
OTU29	k:Fungi(1.00),p:unidentified(0.99),c:unidentified(0.99),o:unidentified(0.99),f:unidentified(0.99),g:unidentified(0.99),s:Fungi_sp|SH3335924.08FU(0.45)	+
OTU31			
OTU30	k:Fungi(1.00),p:unidentified(0.91),c:unidentified(0.91),o:unidentified(0.91),f:unidentified(0.91),g:unidentified(0.91),s:Fungi_sp|SH1529829.08FU(0.91)	+
OTU32			
OTU33	k:Fungi(1.00),p:Rozellomycota(1.00),c:unidentified(1.00),o:unidentified(1.00),f:unidentified(1.00),g:unidentified(1.00),s:Rozellomycota_sp|SH3338218.08FU(1.00)	+
OTU34			
OTU36			
OTU37	k:Fungi(1.00),p:Zoopagomycota(1.00),c:Zoopagomycetes(1.00),o:Zoopagales(1.00),f:Piptocephalidaceae(0.82),g:unidentified(0.93),s:Piptocephalidaceae_sp|SH2720533.08FU(0.56)	+
OTU35	k:Fungi(1.00),p:Mucoromycota(1.00),c:Endogonomycetes(1.00),o:Endogonales(1.00),f:unidentified(1.00),g:unidentified(1.00),s:Endogonales_sp|SH3319067.08FU(1.00)	+
OTU39	k:Fungi(1.00),p:unidentified(1.00),c:unidentified(1.00),o:unidentified(1.00),f:unidentified(1.00),g:unidentified(1.00),s:Fungi_sp|SH3334911.08FU(0.79)	+
OTU38			
OTU40			
OTU41	k:Fungi(1.00),p:unidentified(1.00),c:unidentified(1.00),o:unidentified(1.00),f:unidentified(1.00),g:unidentified(1.00),s:Fungi_sp|SH3215748.08FU(1.00)	+
OTU42	k:Fungi(1.00),p:Rozellomycota(1.00),c:Rozellomycotina_cls_Incertae_sedis(1.00),o:GS04(1.00),f:unidentified(1.00),g:unidentified(1.00),s:GS04_sp|SH3313268.08FU(1.00)	+
OTU44			
OTU43	k:Fungi(1.00),p:unidentified(1.00),c:unidentified(1.00),o:unidentified(1.00),f:unidentified(1.00),g:unidentified(1.00),s:Fungi_sp|SH2750882.08FU(0.87)	+
OTU45			
OTU46	k:Fungi(1.00),p:unidentified(1.00),c:unidentified(1.00),o:unidentified(1.00),f:unidentified(1.00),g:unidentified(1.00),s:Fungi_sp|SH3312802.08FU(1.00)	+
OTU47			
OTU48	k:Fungi(1.00),p:unidentified(1.00),c:unidentified(1.00),o:unidentified(1.00),f:unidentified(1.00),g:unidentified(1.00),s:Fungi_sp|SH3328547.08FU(0.93)	+
OTU52	k:Fungi(1.00),p:Zoopagomycota(1.00),c:Zoopagomycetes(1.00),o:Zoopagales(1.00),f:Piptocephalidaceae(1.00),g:Syncephalis(1.00),s:Syncephalis_sp|SH2731028.08FU(0.74)	+
OTU49			
OTU50			
OTU51			
OTU53			
OTU54			
OTU55			
OTU56	k:Fungi(1.00),p:unidentified(1.00),c:unidentified(1.00),o:unidentified(1.00),f:unidentified(1.00),g:unidentified(1.00),s:Fungi_sp|SH3338547.08FU(0.75)	+
OTU60			
OTU58			
OTU57			
OTU59			
OTU61	k:Fungi(1.00),p:unidentified(0.98),c:unidentified(0.98),o:unidentified(0.98),f:unidentified(1.00),g:unidentified(1.00),s:Fungi_sp|SH3312802.08FU(0.98)	+
OTU63	k:Fungi(1.00),p:unidentified(1.00),c:unidentified(1.00),o:unidentified(1.00),f:unidentified(1.00),g:unidentified(1.00),s:Fungi_sp|SH2598533.08FU(0.34)	+
OTU64	k:Fungi(1.00),p:unidentified(1.00),c:unidentified(1.00),o:unidentified(1.00),f:unidentified(1.00),g:unidentified(1.00),s:Fungi_sp|SH2720528.08FU(1.00)	+
OTU62	k:Fungi(1.00),p:Basidiomycota(1.00),c:Agaricomycetes(1.00),o:Boletales(1.00),f:Boletaceae(0.99),g:unidentified(0.34),s:Boletaceae_sp|SH1227887.08FU(0.28)	+
OTU66			
OTU68	k:Fungi(1.00),p:Zoopagomycota(1.00),c:Zoopagomycetes(1.00),o:Zoopagales(1.00),f:Piptocephalidaceae(1.00),g:unidentified(1.00),s:Piptocephalidaceae_sp|SH2720533.08FU(1.00)	+
OTU67			
OTU69			
OTU70			
OTU65	k:Fungi(1.00),p:Basidiomycota(0.98),c:Agaricomycetes(0.98),o:Agaricales(0.98),f:Omphalotaceae(0.87),g:Gymnopus(0.87),s:Gymnopus_erythropus|SH1544628.08FU(0.85)	+
OTU71	k:Fungi(1.00),p:Zoopagomycota(1.00),c:Zoopagomycetes(1.00),o:Zoopagales(1.00),f:Piptocephalidaceae(1.00),g:Syncephalis(1.00),s:Syncephalis_sp|SH2728179.08FU(0.52)	+
OTU72			
OTU73			
OTU74			
OTU75			
OTU76			
OTU78			
OTU77			
OTU79			
OTU80			
OTU81	k:Fungi(1.00),p:unidentified(1.00),c:unidentified(1.00),o:unidentified(1.00),f:unidentified(1.00),g:unidentified(1.00),s:Fungi_sp|SH3338547.08FU(0.36)	+
OTU83	k:Fungi(1.00),p:unidentified(1.00),c:unidentified(1.00),o:unidentified(1.00),f:unidentified(1.00),g:unidentified(1.00),s:Fungi_sp|SH3332354.08FU(0.96)	+
OTU84			
OTU82	k:Fungi(1.00),p:Chytridiomycota(0.79),c:Lobulomycetes(0.37),o:Lobulomycetales(0.37),f:unidentified(0.49),g:unidentified(0.53),s:Lobulomycetales_sp|SH1245320.08FU(0.12)	+
OTU86			
OTU85			
OTU87			
OTU88			
OTU89	k:Fungi(1.00),p:unidentified(1.00),c:unidentified(1.00),o:unidentified(1.00),f:unidentified(1.00),g:unidentified(1.00),s:Fungi_sp|SH3338547.08FU(0.64)	+
OTU90			
OTU91			
OTU94			
OTU93			
OTU95			
OTU92	k:Fungi(1.00),p:unidentified(0.88),c:unidentified(0.88),o:unidentified(0.88),f:unidentified(0.88),g:unidentified(0.88),s:Fungi_sp|SH3316286.08FU(0.88)	+
OTU96			
OTU97			
OTU98			
OTU99	k:Fungi(1.00),p:unidentified(0.99),c:unidentified(0.99),o:unidentified(0.99),f:unidentified(0.99),g:unidentified(0.99),s:Fungi_sp|SH3312802.08FU(0.99)	+
OTU101			
OTU100			
OTU103			
OTU102			
OTU105			
OTU104	k:Fungi(1.00),p:Ascomycota(1.00),c:Pezizomycetes(1.00),o:Pezizales(1.00),f:Pyronemataceae(1.00),g:Genea(1.00),s:Genea_sp|SH1149489.08FU(0.20)	+
OTU106			
OTU107	k:Fungi(1.00),p:Rozellomycota(1.00),c:Rozellomycotina_cls_Incertae_sedis(1.00),o:GS05(1.00),f:unidentified(1.00),g:unidentified(1.00),s:GS05_sp|SH1244232.08FU(1.00)	+
OTU108			
OTU110	k:Fungi(1.00),p:unidentified(1.00),c:unidentified(1.00),o:unidentified(1.00),f:unidentified(1.00),g:unidentified(1.00),s:Fungi_sp|SH3312802.08FU(1.00)	+
OTU109			
OTU111			
OTU112			
OTU113	k:Fungi(1.00),p:unidentified(1.00),c:unidentified(1.00),o:unidentified(1.00),f:unidentified(1.00),g:unidentified(1.00),s:Fungi_sp|SH2750882.08FU(0.81)	+
OTU114	k:Fungi(1.00),p:unidentified(0.88),c:unidentified(0.88),o:unidentified(0.88),f:unidentified(0.89),g:unidentified(0.90),s:Fungi_sp|SH3316286.08FU(0.86)	+
OTU116	k:Fungi(1.00),p:unidentified(1.00),c:unidentified(1.00),o:unidentified(1.00),f:unidentified(1.00),g:unidentified(1.00),s:Fungi_sp|SH3312802.08FU(1.00)	+
